"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Jose Ramirez","CLE","58","254","17","45","46","10","12.2%","16.9%",".315",".294",".292",".386",".607",".415","164","88.7","1.9","21.9","1.7","3.4","13510"
"Freddie Freeman","ATL","60","262","13","51","53","2","17.2%","14.1%",".299",".366",".341",".462",".640",".456","187","92.4","-0.3","28.7","-1.3","3.3","5361"
"Mookie Betts","LAD","55","246","16","47","39","10","9.8%","15.4%",".269",".289",".292",".366",".562",".390","149","90.7","3.3","18.6","3.1","3.0","13611"
"Fernando Tatis Jr.","SDP","59","257","17","50","45","11","10.5%","23.7%",".295",".306",".277",".366",".571",".392","149","95.9","1.4","17.5","3.1","2.9","19709"
"Trea Turner","WSN","59","259","12","46","41","12","8.5%","13.9%",".253",".353",".335",".394",".588",".413","158","90.5","2.4","21.6","-0.5","2.7","16252"
"Anthony Rendon","LAA","52","232","9","29","31","0","16.4%","13.4%",".212",".302",".286",".418",".497",".395","154","90.1","0.0","15.4","3.7","2.7","12861"
"Mike Yastrzemski","SFG","54","225","10","39","35","2","13.3%","24.4%",".271",".370",".297",".400",".568",".407","159","88.2","0.8","17.7","1.2","2.6","14854"
"Jose Abreu","CHW","60","262","19","43","60","0","6.9%","22.5%",".300",".350",".317",".370",".617",".411","166","92.9","-1.0","20.2","-5.4","2.6","15676"
"Manny Machado","SDP","60","254","16","44","47","6","10.2%","14.6%",".277",".297",".304",".370",".580",".391","149","90.2","-1.7","14.1","3.2","2.6","11493"
"Marcell Ozuna","ATL","60","267","18","38","56","0","14.2%","22.5%",".298",".391",".338",".431",".636",".444","179","93.0","-0.2","26.7","-7.8","2.5","10324"
"Mike Trout","LAA","53","241","17","41","46","1","14.5%","23.2%",".322",".300",".281",".390",".603",".407","162","93.7","1.3","19.7","-2.4","2.5","10155"
"DJ LeMahieu","NYY","50","216","10","41","27","3","8.3%","9.7%",".226",".370",".364",".421",".590",".429","176","91.3","0.7","21.0","-1.2","2.5","9874"
"Trevor Story","COL","59","259","11","41","28","15","9.3%","24.3%",".230",".354",".289",".355",".519",".370","117","89.9","4.0","9.7","6.3","2.4","12564"
"Juan Soto","WSN","47","196","13","39","37","6","20.9%","14.3%",".344",".363",".351",".490",".695",".478","201","92.3","-0.5","24.8","-4.9","2.4","20123"
"Ronald Acuna Jr.","ATL","46","202","14","46","29","8","18.8%","29.7%",".331",".302",".250",".406",".581",".413","158","92.4","2.2","17.3","2.0","2.4","18401"
"Brandon Lowe","TBR","56","224","14","36","37","3","11.2%","25.9%",".285",".309",".269",".362",".554",".385","150","89.8","2.9","16.8","1.4","2.4","18882"
"Trent Grisham","SDP","59","252","10","42","26","10","12.3%","25.4%",".205",".310",".251",".352",".456",".349","121","88.3","-0.2","6.5","8.3","2.3","18564"
"Paul Goldschmidt","STL","58","231","6","31","21","1","16.0%","18.6%",".162",".364",".304",".417",".466",".387","146","89.2","1.1","14.6","-2.9","2.1","9218"
"Tim Anderson","CHW","49","221","10","45","21","5","4.5%","22.6%",".207",".383",".322",".357",".529",".376","142","87.2","0.8","12.2","-0.1","2.1","15172"
"Michael Conforto","NYM","54","233","9","40","31","3","10.3%","24.5%",".193",".412",".322",".412",".515",".401","157","88.4","-0.2","16.7","-2.3","2.0","16376"
"Nelson Cruz","MIN","53","214","16","33","33","0","11.7%","27.1%",".292",".360",".303",".397",".595",".411","164","91.6","-0.7","16.1","-5.6","2.0","2434"
"Cesar Hernandez","CLE","58","261","3","35","20","0","9.2%","21.8%",".124",".364",".283",".355",".408",".335","110","89.1","0.4","3.5","4.7","1.9","10556"
"George Springer","HOU","51","222","14","37","32","1","10.8%","17.1%",".275",".259",".265",".359",".540",".379","146","88.7","1.3","14.1","-2.2","1.9","12856"
"Ian Happ","CHC","57","231","12","27","28","1","13.0%","27.3%",".247",".317",".258",".361",".505",".369","132","91.1","0.2","9.5","-0.3","1.9","17919"
"Xander Bogaerts","BOS","56","225","11","36","28","8","9.3%","18.2%",".202",".329",".300",".364",".502",".368","130","89.0","2.7","11.1","2.4","1.9","12161"
"Wil Myers","SDP","55","218","15","34","40","2","8.3%","25.7%",".318",".331",".288",".353",".606",".400","154","91.0","1.4","16.5","-4.7","1.9","10047"
"Dansby Swanson","ATL","60","264","10","49","35","5","8.3%","26.9%",".190",".350",".274",".345",".464",".348","116","89.0","4.2","9.5","2.8","1.9","18314"
"Corey Seager","LAD","52","232","15","38","41","1","7.3%","15.9%",".278",".309",".307",".358",".585",".394","152","93.2","-1.8","13.5","-2.5","1.9","13624"
"Kole Calhoun","ARI","54","228","16","35","40","1","12.3%","21.9%",".300",".211",".226",".338",".526",".362","125","89.4","0.5","7.9","2.6","1.8","11200"
"Dominic Smith","NYM","50","199","10","27","42","0","7.0%","22.6%",".299",".368",".316",".377",".616",".412","164","89.8","0.6","16.9","-3.8","1.8","15653"
"Luke Voit","NYY","56","234","22","41","52","0","7.3%","23.1%",".333",".268",".277",".338",".610",".393","152","88.9","0.1","15.2","-3.2","1.8","14811"
"Francisco Lindor","CLE","60","266","8","30","27","6","9.0%","15.4%",".157",".280",".258",".335",".415",".324","102","89.9","-2.5","-1.9","8.2","1.8","12916"
"Mark Canha","OAK","59","243","5","32","33","4","15.2%","22.2%",".162",".307",".246",".387",".408",".351","128","89.7","2.2","10.5","-1.0","1.8","11445"
"J.T. Realmuto","PHI","47","195","11","33","32","4","8.2%","24.6%",".225",".307",".266",".349",".491",".361","125","90.9","2.0","8.3","4.2","1.7","11739"
"Yasmani Grandal","CHW","46","194","8","27","27","0","15.5%","29.9%",".193",".299",".230",".351",".422",".338","116","90.3","-2.4","1.4","7.0","1.7","11368"
"Kyle Lewis","SEA","58","242","11","37","28","5","14.0%","29.3%",".175",".341",".262",".364",".437",".349","126","88.3","1.7","9.4","-1.0","1.6","19508"
"Eloy Jimenez","CHW","55","226","14","26","41","0","5.3%","24.8%",".263",".340",".296",".332",".559",".373","140","92.4","0.5","11.5","-4.7","1.6","17484"
"Bryce Harper","PHI","58","244","13","41","33","8","20.1%","17.6%",".274",".279",".268",".420",".542",".400","151","92.3","-0.6","15.4","-5.1","1.6","11579"
"Willson Contreras","CHC","57","225","7","37","26","1","8.9%","25.3%",".164",".307",".243",".356",".407",".336","110","89.8","-0.8","2.1","4.6","1.6","11609"
"Yoan Moncada","CHW","52","231","6","28","24","0","12.1%","31.2%",".160",".315",".225",".320",".385",".309","96","87.8","3.0","1.9","4.3","1.6","17232"
"Alex Verdugo","BOS","53","221","6","36","15","4","7.7%","20.4%",".169",".371",".308",".367",".478",".362","126","87.0","1.1","8.3","2.3","1.6","17027"
"Kyle Tucker","HOU","58","228","9","33","42","8","7.9%","20.2%",".244",".303",".268",".325",".512",".349","126","91.1","3.2","10.4","-2.5","1.5","18345"
"David Fletcher","LAA","49","230","3","31","18","2","8.7%","10.9%",".106",".348",".319",".376",".425",".350","123","84.7","-0.7","5.9","1.9","1.5","17992"
"Teoscar Hernandez","TOR","50","207","16","33","34","6","6.8%","30.4%",".289",".348",".289",".340",".579",".384","143","93.3","1.0","12.0","-1.6","1.5","13066"
"Jeimer Candelario","DET","52","206","7","30","29","1","9.7%","23.8%",".205",".372",".297",".369",".503",".373","136","90.2","0.8","10.0","-3.5","1.5","13621"
"Kyle Seager","SEA","60","248","9","35","40","5","12.9%","13.3%",".192",".240",".241",".355",".433",".338","118","89.1","1.7","7.2","-0.3","1.5","9785"
"Brandon Nimmo","NYM","55","225","8","33","18","1","14.7%","19.1%",".204",".326",".280",".404",".484",".387","148","87.2","0.0","13.7","-4.0","1.5","12927"
"Luis Robert","CHW","56","227","11","33","31","9","8.8%","32.2%",".203",".300",".233",".302",".436",".316","101","87.9","1.7","1.8","3.4","1.5","20043"
"Willy Adames","TBR","54","205","8","29","23","2","9.8%","36.1%",".222",".388",".259",".332",".481",".347","124","88.8","2.0","8.2","1.4","1.5","15986"
"Chris Taylor","LAD","56","214","8","30","32","3","12.1%","25.7%",".205",".344",".270",".366",".476",".364","132","88.0","-0.9","7.8","-0.4","1.5","13757"
"Jackie Bradley Jr.","BOS","55","217","7","32","22","5","10.6%","22.1%",".168",".343",".283",".364",".450",".352","120","88.3","1.3","6.6","2.6","1.5","12984"
"Jake Cronenworth","SDP","54","192","4","26","20","3","9.4%","15.6%",".192",".324",".285",".354",".477",".356","125","89.8","-1.0","5.2","2.7","1.4","18036"
"Didi Gregorius","PHI","60","237","10","34","40","3","6.3%","11.8%",".205",".285",".284",".339",".488",".348","117","83.7","0.4","5.4","2.8","1.4","6012"
"Adalberto Mondesi","KCR","59","233","6","33","22","24","4.7%","30.0%",".160",".350",".256",".294",".416",".305","89","90.6","3.6","0.5","3.4","1.4","13769"
"Christian Vazquez","BOS","47","189","7","22","23","4","8.5%","22.8%",".173",".341",".283",".344",".457",".346","115","88.4","-2.7","0.8","8.3","1.4","9774"
"Cavan Biggio","TOR","59","265","8","41","28","6","15.5%","23.0%",".182",".311",".250",".375",".432",".355","124","87.4","0.8","8.5","-1.5","1.4","19252"
"Whit Merrifield","KCR","60","265","9","38","30","12","4.5%","12.5%",".157",".295",".282",".325",".440",".329","106","86.1","0.0","2.0","0.0","1.3","11281"
"Kolten Wong","STL","53","208","1","26","16","5","9.6%","14.4%",".061",".311",".265",".350",".326",".305","92","86.5","2.2","0.0","4.5","1.3","12532"
"Michael Brantley","HOU","46","187","5","24","22","2","9.1%","15.0%",".176",".336",".300",".364",".476",".362","135","88.7","-1.6","6.5","0.7","1.3","4106"
"Starling Marte","- - -","61","250","6","36","27","10","4.8%","16.4%",".149",".319",".281",".340",".430",".333","109","87.0","2.1","5.0","0.7","1.3","9241"
"Jurickson Profar","SDP","56","202","7","28","25","7","7.4%","13.9%",".150",".293",".278",".343",".428",".335","111","87.2","2.7","5.6","0.7","1.3","10815"
"Ramon Laureano","OAK","54","222","6","27","25","2","10.8%","26.1%",".153",".270",".213",".338",".366",".315","103","87.7","0.7","1.5","4.0","1.3","17128"
"Robbie Grossman","OAK","51","192","8","23","23","8","10.9%","19.8%",".241",".267",".241",".344",".482",".351","127","89.0","2.0","8.5","-2.0","1.3","5254"
"Maikel Franco","KCR","60","243","8","23","38","1","6.6%","15.6%",".179",".298",".278",".321",".457",".329","106","86.7","-0.7","1.1","1.1","1.3","12179"
"Cody Bellinger","LAD","56","243","12","33","30","6","12.3%","17.3%",".216",".245",".239",".333",".455",".337","114","89.3","0.5","4.9","-0.9","1.2","15998"
"Brian Anderson","MIA","59","229","11","27","38","0","9.6%","28.8%",".210",".323",".255",".345",".465",".348","122","87.2","0.6","7.1","-0.9","1.2","18289"
"Marcus Semien","OAK","53","236","7","28","23","4","10.6%","21.2%",".152",".260",".223",".305",".374",".299","92","86.2","1.8","-0.6","4.4","1.2","12533"
"Jeff McNeil","NYM","52","209","4","19","23","0","9.6%","11.5%",".142",".335",".311",".383",".454",".360","130","86.6","-2.5","5.5","0.9","1.2","15362"
"Lourdes Gurriel Jr.","TOR","57","224","11","28","33","3","6.3%","21.4%",".226",".351",".308",".348",".534",".372","135","90.8","-2.2","7.4","-1.4","1.2","19238"
"Tommy La Stella","- - -","55","228","5","31","25","1","11.8%","5.3%",".168",".276",".281",".370",".449",".355","129","88.0","-2.2","5.9","-2.0","1.2","12371"
"Nick Ahmed","ARI","57","217","5","29","29","4","8.3%","21.2%",".136",".324",".266",".327",".402",".318","96","87.7","2.1","1.0","2.9","1.1","12147"
"Eugenio Suarez","CIN","57","231","15","29","38","2","13.0%","29.0%",".268",".214",".202",".312",".470",".332","104","89.1","0.5","1.7","-0.5","1.1","12552"
"Anthony Rizzo","CHC","58","243","11","26","24","3","11.5%","15.6%",".192",".218",".222",".342",".414",".326","103","87.7","-0.4","0.6","-0.2","1.1","3473"
"J.P. Crawford","SEA","53","232","2","33","24","6","9.9%","16.8%",".083",".303",".255",".336",".338",".303","94","85.8","-0.2","-2.0","4.9","1.1","15491"
"Kevin Pillar","- - -","54","223","6","34","26","5","5.8%","18.4%",".173",".335",".288",".336",".462",".341","106","87.1","1.9","3.5","0.7","1.1","12434"
"Aaron Hicks","NYY","54","211","6","28","21","4","19.4%","18.0%",".189",".256",".225",".379",".414",".351","123","88.2","2.6","8.6","-3.3","1.1","5297"
"David Peralta","ARI","54","218","5","19","34","1","6.0%","20.6%",".133",".361",".300",".339",".433",".333","106","89.2","0.0","1.7","1.4","1.0","2136"
"Joey Gallo","TEX","57","226","10","23","26","2","12.8%","35.0%",".197",".240",".181",".301",".378",".297","86","91.2","2.7","-1.1","3.5","1.0","14128"
"A.J. Pollock","LAD","55","210","16","30","34","2","5.7%","21.4%",".291",".277",".276",".314",".566",".364","132","89.6","-2.0","6.6","-3.9","1.0","9256"
"Max Kepler","MIN","48","196","9","27","23","3","11.2%","18.4%",".211",".236",".228",".321",".439",".328","107","88.5","2.3","3.9","-2.6","1.0","12144"
"Jean Segura","PHI","54","217","7","28","25","2","10.6%","20.7%",".156",".314",".266",".347",".422",".333","107","88.0","-1.1","0.9","3.3","1.0","5933"
"Wilmer Flores","SFG","55","213","12","30","32","1","6.1%","16.9%",".247",".272",".268",".315",".515",".347","120","87.9","-0.2","5.1","-2.8","1.0","5827"
"Nolan Arenado","COL","48","201","8","23","26","0","7.5%","10.0%",".181",".241",".253",".303",".434",".308","76","87.8","-0.5","-6.6","9.3","0.9","9777"
"Eddie Rosario","MIN","57","231","13","31","42","3","8.2%","14.7%",".219",".248",".257",".316",".476",".333","110","87.5","-2.0","0.9","-1.5","0.9","12155"
"Brandon Crawford","SFG","54","193","8","26","28","1","7.8%","24.4%",".209",".303",".256",".326",".465",".334","111","88.7","-0.5","2.2","0.6","0.9","5343"
"Donovan Solano","SFG","54","203","3","22","29","0","4.9%","19.2%",".137",".396",".326",".365",".463",".357","126","88.5","0.4","7.2","-5.4","0.9","8623"
"Carlos Correa","HOU","58","221","5","22","25","0","7.2%","22.2%",".119",".324",".264",".326",".383",".308","98","88.6","-0.2","-0.8","1.8","0.9","14162"
"Tommy Edman","STL","55","227","5","29","26","2","7.0%","21.1%",".118",".301",".250",".317",".368",".302","90","86.5","-0.3","-3.3","1.5","0.8","19470"
"Hunter Dozier","KCR","44","186","6","29","12","4","14.5%","25.8%",".165",".288",".228",".344",".392",".326","104","86.4","1.5","2.5","-2.6","0.8","15117"
"Charlie Blackmon","COL","59","247","6","31","42","2","7.7%","17.8%",".145",".347",".303",".356",".448",".340","97","86.9","-0.2","-1.0","0.5","0.8","7859"
"Matt Olson","OAK","60","245","14","28","42","1","13.9%","31.4%",".229",".227",".195",".310",".424",".316","103","92.3","0.2","1.2","-1.8","0.8","14344"
"Evan Longoria","SFG","53","209","7","26","28","0","5.3%","18.7%",".171",".280",".254",".297",".425",".308","93","91.7","-2.1","-3.8","4.4","0.8","9368"
"Victor Reyes","DET","57","213","4","30","14","8","4.2%","21.1%",".114",".340",".277",".315",".391",".307","91","90.0","0.0","-2.3","0.8","0.8","15487"
"Christian Walker","ARI","57","243","7","35","34","1","7.8%","20.6%",".188",".317",".271",".333",".459",".339","110","90.4","0.8","3.8","-4.5","0.8","13419"
"Jorge Polanco","MIN","55","226","4","22","19","4","5.8%","15.5%",".096",".292",".258",".304",".354",".289","80","86.6","-0.6","-6.3","3.9","0.8","13152"
"Christian Yelich","MIL","58","247","12","39","22","4","18.6%","30.8%",".225",".259",".205",".356",".430",".343","113","94.0","-1.2","3.0","-6.3","0.7","11477"
"Raimel Tapia","COL","51","206","1","26","17","8","6.8%","18.4%",".082",".392",".321",".369",".402",".338","96","85.3","3.2","2.2","-1.9","0.7","14350"
"Orlando Arcia","MIL","59","189","5","22","20","2","7.4%","16.9%",".156",".292",".260",".317",".416",".317","96","89.0","-2.9","-3.9","2.6","0.7","13185"
"Avisail Garcia","MIL","53","207","2","20","15","1","9.7%","23.7%",".088",".315",".238",".333",".326",".296","82","87.4","-1.0","-5.7","3.6","0.7","5760"
"Isiah Kiner-Falefa","TEX","58","228","3","28","10","8","6.1%","14.0%",".090",".316",".280",".329",".370",".307","93","87.2","-2.0","-3.9","2.8","0.7","16512"
"Adam Frazier","PIT","58","230","7","22","23","1","7.4%","15.2%",".134",".246",".230",".297",".364",".291","80","85.5","-1.4","-7.2","3.4","0.6","15223"
"Hanser Alberto","BAL","54","231","3","35","22","3","2.2%","13.0%",".110",".314",".283",".306",".393",".301","89","82.3","3.1","0.1","0.2","0.6","11902"
"Franmil Reyes","CLE","59","241","9","27","34","0","10.0%","28.6%",".175",".355",".275",".344",".450",".341","113","92.4","-1.9","2.0","-6.7","0.6","14566"
"Jesus Aguilar","MIA","51","216","8","31","34","0","10.6%","18.5%",".181",".306",".277",".352",".457",".347","122","89.6","-1.6","4.4","-4.2","0.6","11342"
"Randal Grichuk","TOR","55","231","12","38","35","1","5.6%","21.2%",".208",".299",".273",".312",".481",".334","109","88.9","0.1","2.6","-3.1","0.6","10243"
"Joey Votto","CIN","54","223","11","32","22","0","16.6%","19.3%",".220",".235",".226",".354",".446",".347","114","87.4","-1.7","2.3","-6.6","0.6","4314"
"Rafael Devers","BOS","57","248","11","32","43","0","5.2%","27.0%",".220",".325",".263",".310",".483",".337","109","93.0","0.9","3.7","-4.8","0.5","17350"
"Adam Duvall","ATL","57","209","16","34","33","0","7.2%","25.8%",".295",".240",".237",".301",".532",".348","116","88.1","0.6","4.7","-4.9","0.5","10950"
"Miguel Sano","MIN","53","205","13","31","25","0","8.8%","43.9%",".274",".301",".204",".278",".478",".317","99","95.2","2.3","2.1","-6.0","0.5","12164"
"Colin Moran","PIT","52","200","10","28","23","0","9.5%","26.0%",".225",".291",".247",".325",".472",".340","113","91.9","-2.9","0.4","-4.6","0.5","16909"
"J.D. Davis","NYM","56","229","6","26","19","0","13.5%","24.5%",".142",".318",".247",".371",".389",".339","116","90.1","-2.7","2.1","-3.4","0.5","16219"
"Nicholas Castellanos","CIN","60","242","14","37","34","0","7.9%","28.5%",".261",".257",".225",".298",".486",".329","102","91.0","-1.2","-0.6","-5.7","0.4","11737"
"Max Muncy","LAD","58","248","12","36","27","1","15.7%","24.2%",".197",".203",".192",".331",".389",".316","100","88.5","-0.4","-0.3","-4.3","0.4","13301"
"Kyle Schwarber","CHC","59","224","11","30","24","1","13.4%","29.5%",".204",".219",".188",".308",".393",".307","91","92.8","0.4","-2.2","-3.7","0.4","16478"
"Carlos Santana","CLE","60","255","8","34","30","0","18.4%","16.9%",".150",".212",".199",".349",".350",".316","96","88.0","-0.9","-2.0","-5.4","0.4","2396"
"Ketel Marte","ARI","45","195","2","19","17","1","3.6%","10.8%",".122",".311",".287",".323",".409",".316","94","89.2","-0.2","-1.7","-1.4","0.4","13613"
"Renato Nunez","BAL","52","216","12","29","31","0","7.9%","29.6%",".236",".317",".256",".324",".492",".347","120","86.3","-1.5","3.9","-5.9","0.4","14503"
"Pete Alonso","NYM","57","239","16","31","35","1","10.0%","25.5%",".260",".242",".231",".326",".490",".342","118","90.2","-2.0","3.6","-6.3","0.4","19251"
"Miguel Cabrera","DET","57","231","10","28","35","1","10.4%","22.1%",".167",".283",".250",".329",".417",".323","102","93.2","-2.1","-1.6","-6.0","0.3","1744"
"Vladimir Guerrero Jr.","TOR","60","243","9","34","33","1","8.2%","15.6%",".199",".282",".262",".329",".462",".338","112","92.5","-0.9","2.6","-6.9","0.2","19611"
"Keston Hiura","MIL","59","246","13","30","32","3","6.5%","34.6%",".198",".273",".212",".297",".410",".304","87","87.4","-0.5","-4.6","-4.4","0.2","20003"
"Marwin Gonzalez","MIN","53","199","5","15","22","0","8.5%","20.6%",".109",".241",".211",".286",".320",".269","66","89.2","0.9","-7.3","0.3","0.2","5497"
"Jose Altuve","HOU","48","210","5","32","18","2","8.1%","18.6%",".125",".250",".219",".286",".344",".278","77","86.7","0.4","-5.5","-0.1","0.2","5417"
"Erik Gonzalez","PIT","50","193","3","14","20","2","4.1%","26.4%",".133",".292",".227",".255",".359",".262","62","88.5","0.2","-9.3","2.1","0.1","13369"
"Ryan McMahon","COL","52","193","9","23","26","0","9.3%","34.2%",".203",".286",".215",".295",".419",".308","76","90.1","0.6","-5.3","-0.2","0.1","15112"
"Corey Dickerson","MIA","52","210","7","25","17","1","7.1%","16.7%",".144",".283",".258",".311",".402",".308","96","85.5","0.0","-1.1","-3.8","0.1","10762"
"Bryan Reynolds","PIT","55","208","7","24","19","1","10.1%","27.4%",".168",".231",".189",".275",".357",".278","72","87.5","-1.7","-9.2","0.2","0.0","19326"
"Rio Ruiz","BAL","54","204","9","25","32","1","8.3%","22.5%",".205",".244",".222",".286",".427",".303","90","87.9","-2.2","-4.7","-0.6","0.0","14103"
"Javier Baez","CHC","59","235","8","27","24","3","3.0%","31.9%",".158",".262",".203",".238",".360",".256","57","89.4","-0.4","-13.3","2.7","0.0","12979"
"Asdrubal Cabrera","WSN","52","213","8","23","31","0","8.9%","18.8%",".205",".260",".242",".305",".447",".319","96","89.4","-2.6","-3.8","-2.2","0.0","4962"
"Yuli Gurriel","HOU","57","230","6","27","22","0","5.2%","11.7%",".152",".235",".232",".274",".384",".281","79","89.3","0.3","-5.5","-3.4","-0.1","19198"
"Austin Riley","ATL","51","206","8","24","27","0","7.8%","23.8%",".176",".280",".239",".301",".415",".307","88","91.0","-0.4","-3.6","-3.4","-0.1","18360"
"Nick Solak","TEX","58","233","2","27","23","7","7.7%","18.0%",".077",".320",".268",".326",".344",".297","86","89.9","2.4","-1.6","-8.4","-0.2","19294"
"Andrew McCutchen","PHI","57","241","10","32","34","4","9.1%","19.9%",".180",".281",".253",".324",".433",".327","103","89.6","-1.6","-0.6","-7.6","-0.2","9847"
"Evan White","SEA","54","202","8","19","26","1","8.9%","41.6%",".170",".264",".176",".252",".346",".261","66","91.7","1.0","-7.5","-1.6","-0.2","20078"
"Nicky Lopez","KCR","56","192","1","15","13","0","9.4%","21.4%",".065",".260",".201",".286",".266",".254","55","84.9","-2.0","-12.8","2.0","-0.2","19339"
"Jonathan Villar","- - -","52","207","2","13","15","16","9.2%","26.1%",".059",".313",".232",".301",".292",".266","66","86.9","0.7","-8.2","-0.5","-0.3","10071"
"Josh Bell","PIT","57","223","8","22","22","0","9.9%","26.5%",".138",".273",".226",".305",".364",".286","77","91.7","0.2","-6.2","-7.6","-0.4","13145"
"Victor Robles","WSN","52","189","3","20","15","4","4.8%","28.0%",".095",".298",".220",".293",".315",".273","65","82.6","1.3","-7.0","-2.9","-0.5","18363"
"Eduardo Escobar","ARI","54","222","4","22","20","1","6.8%","18.5%",".123",".244",".212",".270",".335",".257","56","88.6","-0.9","-13.5","0.3","-0.5","6153"
"Josh Reddick","HOU","56","210","4","22","23","1","9.5%","20.0%",".133",".294",".245",".316",".378",".304","95","85.9","-2.0","-3.2","-10.5","-0.6","3892"
"J.D. Martinez","BOS","54","237","7","22","27","1","9.3%","24.9%",".175",".259",".213",".291",".389",".290","77","89.5","-1.0","-7.8","-8.6","-1.0","6184"
